Desc	Orthogroup	Anas	Caug	Cqua	Cscu	Dapu	Dgal	Dmag	Dmel	Dpte	Dpul	Dsil	Dste	Eaff	Ebro	Gmae	Hame	Hazt	Hexe	Hhol	Iele	Lpol	Nstr	Pcau	Pchi	Pcla	Popi	Ppac	Ppol	Psam	Ptep	Rimm	Rvar	Smar	Tcal	Tcas	Tqin	Tuco	Znev
(null)	OG0000117	2	2	1	2	0	1	1	2	1	1	2	1	22	10	1	3	2	3	4	1	6	1	9	2	1	0	3	7	24	2	18	1	2	22	3	3	10	0
(null)	OG0000118	5	27	7	5	7	9	5	7	3	11	5	34	14	5	10	8	14	6	7	10	8	4	4	16	9	5	1	5	14	8	8	6	7	6	8	12	4	6
(null)	OG0000119	6	3	2	4	2	6	1	3	3	10	0	2	1	4	4	5	1	1	1	1	8	0	10	0	1	4	5	3	20	9	2	4	2	0	1	0	15	2
(null)	OG0000120	12	13	15	9	9	10	10	5	5	10	8	8	7	21	12	14	8	1	6	6	15	8	20	7	12	5	4	9	13	9	6	4	5	10	6	11	28	8
(null)	OG0000121	5	12	8	17	7	5	6	6	6	7	7	8	10	13	13	10	8	7	8	8	19	10	7	9	9	7	7	15	12	12	8	11	7	6	7	7	6	5
(null)	OG0000122	24	17	27	22	38	31	39	8	13	52	15	25	27	23	18	18	15	20	15	19	35	35	14	24	20	15	15	55	20	18	27	26	18	26	9	20	16	5
(null)	OG0000123	17	14	17	11	6	10	5	3	9	16	23	13	13	34	8	12	43	7	4	3	17	6	18	18	12	19	4	18	19	27	8	6	6	9	4	9	7	4
(null)	OG0000124	3	5	11	7	3	4	4	3	4	4	3	4	38	9	15	19	3	5	4	3	25	4	15	25	7	7	11	11	28	5	5	6	3	16	4	6	11	3
(null)	OG0000125	10	26	35	14	18	29	17	19	10	19	11	20	67	12	13	31	33	6	9	14	42	16	8	35	37	2	1	33	6	23	18	9	17	31	17	10	13	15
(null)	OG0000126	2	10	5	8	4	1	2	2	11	2	4	2	4	6	5	3	3	4	5	5	10	4	7	3	4	5	5	5	13	4	9	4	5	5	4	8	10	3
(null)	OG0000127	14	9	14	15	25	16	22	20	3	22	12	16	10	40	9	14	18	4	6	14	11	7	21	22	12	8	3	7	24	5	9	13	7	13	13	23	22	12
(null)	OG0000128	1	4	3	2	2	2	2	2	3	2	2	2	5	22	3	3	2	7	2	4	3	2	5	2	2	3	2	5	21	2	4	5	2	1	2	5	6	3
