FamilyID	Tuco<1>	Pcau<2>	Psam<3>	Ppac<4>	Hexe<5>	Rvar<6>	Ebro<7>	Nstr<8>	Lpol<9>	Ptep<10>	Cscu<11>	Popi<12>	Dpte<13>	Dsil<14>	Smar<15>	Rimm<16>	Hhol<17>	Gmae<18>	Dste<19>	Eaff<20>	Tcal<21>	Ppol<22>	Hazt<23>	Anas<24>	Pchi<25>	Hame<26>	Pcla<27>	Cqua<28>	Dmag<29>	Dgal<30>	Dapu<31>	Dpul<32>	Tqin<33>	Caug<34>	Iele<35>	Znev<36>	Tcas<37>	Dmel<38>	<39>	<40>	<41>	<42>	<43>	<44>	<45>	<46>	<47>	<48>	<49>	<50>	<51>	<52>	<53>	<54>	<55>	<56>	<57>	<58>	<59>	<60>	<61>	<62>	<63>	<64>	<65>	<66>	<67>	<68>	<69>	<70>	<71>	<72>	<73>	<74>	<75>
OG0000079	4	4	7	-3	-2	-2	7	2	6	-1	1	3	-6	5	-3	0	0	3	-2	2	-2	13	10	-1	-3	-1	-2	4	1	-4	6	1	-2	5	-2	-4	4	-1	0	2	1	1	0	-5	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	-1	0	0	0	2	0	0	0	0	-1	0	1
OG0000080	-3	-3	9	-2	-1	1	10	-6	4	3	0	4	-9	30	-9	38	0	0	-3	3	-4	3	-6	2	3	-5	13	0	-1	0	-1	-1	2	0	-3	-2	2	8	0	-2	3	3	0	-1	2	2	1	5	0	0	0	1	0	1	3	0	0	0	0	-1	1	1	0	2	1	1	0	-7	0	0	0	0	0	0	3
OG0000081	3	4	14	-5	-4	7	25	1	-1	1	13	-11	-10	23	-7	42	-2	6	13	3	0	-2	0	0	-1	-2	0	-1	-4	-4	-2	11	10	-3	0	-7	0	0	0	1	7	5	1	2	3	2	0	1	0	1	0	0	0	3	5	0	-1	-2	0	1	-1	-3	0	-1	0	0	0	-3	0	0	0	0	-2	0	0
OG0000083	-3	0	35	-4	1	-3	8	-3	3	5	5	-2	-13	43	-4	4	-3	-2	-4	4	-1	16	-2	3	-1	2	0	-1	2	-4	2	10	1	-4	-5	-4	-3	19	0	0	1	13	0	-2	0	0	0	4	0	1	0	0	0	0	0	-1	0	0	1	1	1	-1	0	0	0	0	0	6	0	1	-1	0	-1	0	1
OG0000085	3	6	10	-4	0	-1	13	-3	12	2	3	-4	-2	-2	-1	11	-1	2	0	1	-2	1	0	-4	0	-2	-1	3	0	-2	-1	0	-1	7	1	-3	-1	-1	0	2	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	-1	0	0	0	0	0	-2	0	0	0	0	-1	0	0
OG0000086	0	-2	4	-3	-2	1	5	-4	25	2	6	-5	-2	-1	-2	2	0	3	-1	7	-1	2	1	-1	-1	-2	1	2	2	-2	0	0	0	7	1	0	0	-2	0	0	1	1	0	-1	1	1	0	2	0	1	0	0	0	0	0	0	1	0	0	2	0	-1	0	0	0	0	0	-1	0	0	0	0	-1	0	0
OG0000087	1	-3	2	-1	3	-5	19	-2	-5	18	-3	12	-5	5	-5	-2	34	-8	-3	0	-3	13	-4	6	-9	1	21	-4	-2	-3	3	12	-2	-4	-3	-4	4	0	0	0	1	0	0	-2	1	0	0	2	0	0	0	0	0	0	-2	1	0	0	1	-1	2	1	0	0	2	0	0	6	1	1	-2	0	-1	0	1
OG0000088	0	7	6	-5	0	2	5	-7	7	5	1	1	-3	-6	-5	11	22	-3	-3	7	0	-3	-7	-2	7	1	-1	8	0	3	-1	-4	16	1	-6	-2	-2	4	0	1	1	-1	0	2	1	2	0	0	0	0	-1	-1	1	1	0	2	1	0	0	2	0	2	-1	4	2	0	0	-2	0	0	0	0	-2	0	1
OG0000089	-3	11	18	-3	-2	-1	62	-5	11	1	0	-1	-2	-3	-2	0	0	-3	-1	40	25	3	1	-6	-1	-1	1	3	0	-1	-1	-1	5	0	-1	-1	-1	0	0	0	0	7	0	-2	0	-2	0	0	0	0	0	-1	0	-1	0	0	1	0	5	30	0	-2	-1	0	0	0	0	-1	0	0	0	0	-3	0	0
OG0000090	11	5	2	0	-4	3	4	-2	3	1	-2	2	-3	-2	-3	0	3	1	-3	9	0	-1	0	-2	0	4	2	-1	-4	-1	7	2	6	-1	0	-1	3	-3	0	5	0	2	0	-1	0	-1	0	0	0	0	0	-1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	1	1	0	0	-1	0	0
OG0000091	3	4	5	-6	-1	0	9	-7	23	2	3	0	-5	-3	1	3	0	3	1	-2	-4	6	-3	-3	2	0	3	-2	1	0	1	-1	-1	3	-1	0	0	-3	0	1	0	-1	0	0	1	1	0	2	0	0	0	-1	0	1	1	0	0	0	0	-3	0	0	-1	1	0	0	0	3	0	0	0	0	-1	0	0
