Desc	Orthogroup	Acar	Ajap	Amis	Anja	Arub	Asin	Bbom	Bbuf	Blan	Cint	Clup	Cmil	Cpic	Cpla	Cpor	Cser	Ctig	Drer	Ebur	Emac	Ggal	Ggan	Gser	Hsap	Lcha	Leri	Mdom	Muni	Npar	Oana	Pann	Pmeg	Psin	Pwal	Rbiv	Rtem	Sbom	Skow	Sorb	Spur	Tcar	Tgut	Ttru	Xlae	Xtro
(null)	OG0003472	1	1	1	1	2	1	1	2	2	1	2	1	1	1	0	1	0	1	0	1	1	0	0	0	1	1	0	2	1	1	1	1	0	1	1	3	1	1	1	1	1	1	1	1	0
(null)	OG0003473	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	1
(null)	OG0003474	3	1	3	2	2	3	2	2	2	2	4	3	2	4	3	2	5	5	0	4	2	2	2	4	2	3	3	2	3	2	4	3	2	2	2	3	2	1	3	1	3	1	4	3	2
(null)	OG0003475	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	1	0	0	0	0	0
(null)	OG0003476	4	1	2	1	1	2	2	2	1	1	2	2	2	2	2	2	2	3	0	2	2	2	2	2	2	2	3	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2
(null)	OG0003477	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
(null)	OG0003478	0	2	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	0	1	1	2	0	1	1	1	1	1	2	2	1	1	1	2	1	1	1	1	1
(null)	OG0003479	2	1	2	1	1	2	2	2	1	1	2	2	2	2	2	2	2	2	1	2	3	2	2	2	2	2	2	2	3	2	1	2	2	2	3	2	2	1	2	1	2	2	2	2	2
(null)	OG0003480	1	3	1	2	2	1	1	1	2	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	5	1	1	1	1	1
(null)	OG0003481	1	2	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	3	1	1	1	1	1	1	1	2	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0003484	2	2	2	1	1	2	2	2	1	1	3	2	2	1	2	2	2	3	1	2	2	2	2	2	2	2	3	1	2	2	2	2	2	2	2	2	1	1	4	0	2	2	2	5	1
